date_only,label,count
2025-12-26,Application_Confirmation,2
2025-12-29,Application_Confirmation,12
2025-12-30,Application_Confirmation,35
2025-12-31,Application_Confirmation,30
2025-12-31,Rejected,3
2026-01-01,Rejected,2
2026-01-02,Application_Confirmation,29
2026-01-02,Rejected,7
2026-01-03,Rejected,3
2026-01-04,Rejected,1
2026-01-05,Application_Confirmation,23
2026-01-05,Rejected,9
2026-01-06,Application_Confirmation,28
2026-01-06,Rejected,7
2026-01-07,Application_Confirmation,30
2026-01-07,Rejected,10
2026-01-08,Application_Confirmation,31
2026-01-08,Rejected,8
2026-01-09,Application_Confirmation,24
2026-01-09,Rejected,10
2026-01-10,Rejected,8
2026-01-11,Rejected,1
2026-01-12,Application_Confirmation,29
2026-01-12,Rejected,4
2026-01-13,Application_Confirmation,35
2026-01-13,Rejected,8
2026-01-14,Application_Confirmation,36
2026-01-14,Rejected,4
2026-01-15,Application_Confirmation,36
2026-01-15,Rejected,10
2026-01-16,Application_Confirmation,36
2026-01-16,Rejected,8
2026-01-17,Rejected,6
2026-01-18,Rejected,2
2026-01-19,Application_Confirmation,34
2026-01-19,Rejected,5
2026-01-20,Application_Confirmation,36
2026-01-20,Rejected,10
2026-01-21,Application_Confirmation,33
2026-01-21,Rejected,9
2026-01-22,Application_Confirmation,39
2026-01-22,Rejected,19
2026-01-23,Application_Confirmation,31
2026-01-23,Rejected,19
2026-01-24,Rejected,3
2026-01-25,Rejected,3
2026-01-26,Application_Confirmation,35
2026-01-26,Rejected,13
2026-01-27,Application_Confirmation,41
2026-01-27,Rejected,9
2026-01-28,Application_Confirmation,35
2026-01-28,Rejected,14
2026-01-29,Application_Confirmation,28
2026-01-29,Rejected,16
2026-01-30,Application_Confirmation,29
2026-01-30,Rejected,15
2026-01-31,Rejected,9
2026-02-01,Rejected,3
2026-02-02,Application_Confirmation,2
2026-02-02,Rejected,9
2026-02-03,Application_Confirmation,42
2026-02-03,Rejected,13
2026-02-04,Application_Confirmation,26
2026-02-04,Rejected,18
2026-02-05,Rejected,1
